nSeq,I1,I2,O1,O2,A1
6,0,0,0,0,513
7,0,0,0,0,506
8,0,0,0,0,529
9,0,0,0,0,496
10,0,0,0,0,511
11,0,0,0,0,498
12,0,0,0,0,513
13,0,0,0,0,493
14,0,0,0,0,511
15,0,0,0,0,499
0,0,0,0,0,507
1,0,0,0,0,485
2,0,0,0,0,512
3,0,0,0,0,497
4,0,0,0,0,510
5,0,0,0,0,481
6,0,0,0,0,508
7,0,0,0,0,476
8,0,0,0,0,514
9,0,0,0,0,479
10,0,0,0,0,498
11,0,0,0,0,489
12,0,0,0,0,508
13,0,0,0,0,492
14,0,0,0,0,536
15,0,0,0,0,508
0,0,0,0,0,497
1,0,0,0,0,507
2,0,0,0,0,506
3,0,0,0,0,501
4,0,0,0,0,521
5,0,0,0,0,491
6,0,0,0,0,499
7,0,0,0,0,513
8,0,0,0,0,508
9,0,0,0,0,505
10,0,0,0,0,505
11,0,0,0,0,485
12,0,0,0,0,529
13,0,0,0,0,486
14,0,0,0,0,512
15,0,0,0,0,504
0,0,0,0,0,511
1,0,0,0,0,503
2,0,0,0,0,517
3,0,0,0,0,491
4,0,0,0,0,505
5,0,0,0,0,504
6,0,0,0,0,524
7,0,0,0,0,492
8,0,0,0,0,542
9,0,0,0,0,492
10,0,0,0,0,503
11,0,0,0,0,499
12,0,0,0,0,504
13,0,0,0,0,508
14,0,0,0,0,483
15,0,0,0,0,480
0,0,0,0,0,526
1,0,0,0,0,499
2,0,0,0,0,515
3,0,0,0,0,505
4,0,0,0,0,507
5,0,0,0,0,490
6,0,0,0,0,499
7,0,0,0,0,507
8,0,0,0,0,495
9,0,0,0,0,491
10,0,0,0,0,484
11,0,0,0,0,460
12,0,0,0,0,472
13,0,0,0,0,512
14,0,0,0,0,529
15,0,0,0,0,497
0,0,0,0,0,434
1,0,0,0,0,465
2,0,0,0,0,563
3,0,0,0,0,472
4,0,0,0,0,575
5,0,0,0,0,485
6,0,0,0,0,504
7,0,0,0,0,487
8,0,0,0,0,524
9,0,0,0,0,470
10,0,0,0,0,501
11,0,0,0,0,546
12,0,0,0,0,477
13,0,0,0,0,481
14,0,0,0,0,489
15,0,0,0,0,487
0,0,0,0,0,489
1,0,0,0,0,503
2,0,0,0,0,518
3,0,0,0,0,513
4,0,0,0,0,668
5,0,0,0,0,499
6,0,0,0,0,539
7,0,0,0,0,502
8,0,0,0,0,514
9,0,0,0,0,527
10,0,0,0,0,504
11,0,0,0,0,512
12,0,0,0,0,409
13,0,0,0,0,495
14,0,0,0,0,500
15,0,0,0,0,484
0,0,0,0,0,527
1,0,0,0,0,512
2,0,0,0,0,537
3,0,0,0,0,470
4,0,0,0,0,568
5,0,0,0,0,481
6,0,0,0,0,476
7,0,0,0,0,472
8,0,0,0,0,603
9,0,0,0,0,480
10,0,0,0,0,538
11,0,0,0,0,519
12,0,0,0,0,496
13,0,0,0,0,443
14,0,0,0,0,475
15,0,0,0,0,474
0,0,0,0,0,564
1,0,0,0,0,482
2,0,0,0,0,524
3,0,0,0,0,501
4,0,0,0,0,488
5,0,0,0,0,542
6,0,0,0,0,507
7,0,0,0,0,485
8,0,0,0,0,508
