nSeq,I1,I2,O1,O2,A2
11,0,0,0,0,519
12,0,0,0,0,518
13,0,0,0,0,520
14,0,0,0,0,516
15,0,0,0,0,518
0,0,0,0,0,519
1,0,0,0,0,519
2,0,0,0,0,517
3,0,0,0,0,519
4,0,0,0,0,518
5,0,0,0,0,515
6,0,0,0,0,513
7,0,0,0,0,513
8,0,0,0,0,511
9,0,0,0,0,513
10,0,0,0,0,513
11,0,0,0,0,515
12,0,0,0,0,509
13,0,0,0,0,508
14,0,0,0,0,509
15,0,0,0,0,510
0,0,0,0,0,508
1,0,0,0,0,508
2,0,0,0,0,506
3,0,0,0,0,510
4,0,0,0,0,510
5,0,0,0,0,513
6,0,0,0,0,510
7,0,0,0,0,515
8,0,0,0,0,515
9,0,0,0,0,517
10,0,0,0,0,515
11,0,0,0,0,515
12,0,0,0,0,515
13,0,0,0,0,515
14,0,0,0,0,513
15,0,0,0,0,507
0,0,0,0,0,508
1,0,0,0,0,512
2,0,0,0,0,510
3,0,0,0,0,513
4,0,0,0,0,516
5,0,0,0,0,517
6,0,0,0,0,516
7,0,0,0,0,514
8,0,0,0,0,513
9,0,0,0,0,515
10,0,0,0,0,532
11,0,0,0,0,535
12,0,0,0,0,482
13,0,0,0,0,375
14,0,0,0,0,412
15,0,0,0,0,559
0,0,0,0,0,578
1,0,0,0,0,551
2,0,0,0,0,529
3,0,0,0,0,524
4,0,0,0,0,518
5,0,0,0,0,514
6,0,0,0,0,515
7,0,0,0,0,518
8,0,0,0,0,518
9,0,0,0,0,519
10,0,0,0,0,523
11,0,0,0,0,524
12,0,0,0,0,525
13,0,0,0,0,527
14,0,0,0,0,527
15,0,0,0,0,525
0,0,0,0,0,524
1,0,0,0,0,520
2,0,0,0,0,517
3,0,0,0,0,515
4,0,0,0,0,510
5,0,0,0,0,505
6,0,0,0,0,500
7,0,0,0,0,503
8,0,0,0,0,503
9,0,0,0,0,505
10,0,0,0,0,507
11,0,0,0,0,511
12,0,0,0,0,512
13,0,0,0,0,513
14,0,0,0,0,513
15,0,0,0,0,515
0,0,0,0,0,514
1,0,0,0,0,511
2,0,0,0,0,508
3,0,0,0,0,511
4,0,0,0,0,512
5,0,0,0,0,512
6,0,0,0,0,513
7,0,0,0,0,509
8,0,0,0,0,509
9,0,0,0,0,509
10,0,0,0,0,505
11,0,0,0,0,504
12,0,0,0,0,504
13,0,0,0,0,506
14,0,0,0,0,507
15,0,0,0,0,511
0,0,0,0,0,507
1,0,0,0,0,505
2,0,0,0,0,506
3,0,0,0,0,506
4,0,0,0,0,507
5,0,0,0,0,504
6,0,0,0,0,505
7,0,0,0,0,506
8,0,0,0,0,509
9,0,0,0,0,509
10,0,0,0,0,509
11,0,0,0,0,511
12,0,0,0,0,508
13,0,0,0,0,506
14,0,0,0,0,505
15,0,0,0,0,500
0,0,0,0,0,502
1,0,0,0,0,503
2,0,0,0,0,504
3,0,0,0,0,505
4,0,0,0,0,505
5,0,0,0,0,505
6,0,0,0,0,507
7,0,0,0,0,506
8,0,0,0,0,501
9,0,0,0,0,495
10,0,0,0,0,495
11,0,0,0,0,497
12,0,0,0,0,499
13,0,0,0,0,505
14,0,0,0,0,508
15,0,0,0,0,508
0,0,0,0,0,511
1,0,0,0,0,510
2,0,0,0,0,512
3,0,0,0,0,518
4,0,0,0,0,541
5,0,0,0,0,528
6,0,0,0,0,467
7,0,0,0,0,395
8,0,0,0,0,483
9,0,0,0,0,583
10,0,0,0,0,577
11,0,0,0,0,548
12,0,0,0,0,534
13,0,0,0,0,527
14,0,0,0,0,524
15,0,0,0,0,518
0,0,0,0,0,516
1,0,0,0,0,516
2,0,0,0,0,518
3,0,0,0,0,517
4,0,0,0,0,515
5,0,0,0,0,515
6,0,0,0,0,515
7,0,0,0,0,515
8,0,0,0,0,513
9,0,0,0,0,513
10,0,0,0,0,512
11,0,0,0,0,512
12,0,0,0,0,511
13,0,0,0,0,512
14,0,0,0,0,511
15,0,0,0,0,508
0,0,0,0,0,511
1,0,0,0,0,513
2,0,0,0,0,516
3,0,0,0,0,522
4,0,0,0,0,527
5,0,0,0,0,532
6,0,0,0,0,534
7,0,0,0,0,534
8,0,0,0,0,531
9,0,0,0,0,532
10,0,0,0,0,525
11,0,0,0,0,527
12,0,0,0,0,526
13,0,0,0,0,523
14,0,0,0,0,522
15,0,0,0,0,524
0,0,0,0,0,517
1,0,0,0,0,515
2,0,0,0,0,512
3,0,0,0,0,511
4,0,0,0,0,514
5,0,0,0,0,515
6,0,0,0,0,515
7,0,0,0,0,514
8,0,0,0,0,512
9,0,0,0,0,515
10,0,0,0,0,512
11,0,0,0,0,512
12,0,0,0,0,511
13,0,0,0,0,510
14,0,0,0,0,510
15,0,0,0,0,512
0,0,0,0,0,509
1,0,0,0,0,511
2,0,0,0,0,509
3,0,0,0,0,511
4,0,0,0,0,510
5,0,0,0,0,509
6,0,0,0,0,510
7,0,0,0,0,510
8,0,0,0,0,512
9,0,0,0,0,515
10,0,0,0,0,513
11,0,0,0,0,517
12,0,0,0,0,515
13,0,0,0,0,510
14,0,0,0,0,508
15,0,0,0,0,510
0,0,0,0,0,510
1,0,0,0,0,514
2,0,0,0,0,517
3,0,0,0,0,521
4,0,0,0,0,522
5,0,0,0,0,522
6,0,0,0,0,520
7,0,0,0,0,522
8,0,0,0,0,532
9,0,0,0,0,554
10,0,0,0,0,523
11,0,0,0,0,439
12,0,0,0,0,395
13,0,0,0,0,518
14,0,0,0,0,585
15,0,0,0,0,564
0,0,0,0,0,539
1,0,0,0,0,528
2,0,0,0,0,524
3,0,0,0,0,521
4,0,0,0,0,517
5,0,0,0,0,517
6,0,0,0,0,515
7,0,0,0,0,513
8,0,0,0,0,510
9,0,0,0,0,513
10,0,0,0,0,510
11,0,0,0,0,512
12,0,0,0,0,512
13,0,0,0,0,512
14,0,0,0,0,511
15,0,0,0,0,511
0,0,0,0,0,510
1,0,0,0,0,509
2,0,0,0,0,510
3,0,0,0,0,510
4,0,0,0,0,511
5,0,0,0,0,512
6,0,0,0,0,511
7,0,0,0,0,518
8,0,0,0,0,522
9,0,0,0,0,526
10,0,0,0,0,528
11,0,0,0,0,529
12,0,0,0,0,528
13,0,0,0,0,526
14,0,0,0,0,525
15,0,0,0,0,524
0,0,0,0,0,525
1,0,0,0,0,522
2,0,0,0,0,524
3,0,0,0,0,526
4,0,0,0,0,525
5,0,0,0,0,526
6,0,0,0,0,525
7,0,0,0,0,523
8,0,0,0,0,523
9,0,0,0,0,521
10,0,0,0,0,519
11,0,0,0,0,519
12,0,0,0,0,519
13,0,0,0,0,518
14,0,0,0,0,518
15,0,0,0,0,520
0,0,0,0,0,518
1,0,0,0,0,516
2,0,0,0,0,516
3,0,0,0,0,516
4,0,0,0,0,516
5,0,0,0,0,513
6,0,0,0,0,512
7,0,0,0,0,513
8,0,0,0,0,512
9,0,0,0,0,511
10,0,0,0,0,512
11,0,0,0,0,513
12,0,0,0,0,515
13,0,0,0,0,515
14,0,0,0,0,512
15,0,0,0,0,512
0,0,0,0,0,513
1,0,0,0,0,513
2,0,0,0,0,516
3,0,0,0,0,515
4,0,0,0,0,515
5,0,0,0,0,508
6,0,0,0,0,505
7,0,0,0,0,512
8,0,0,0,0,510
9,0,0,0,0,510
10,0,0,0,0,513
11,0,0,0,0,515
12,0,0,0,0,514
13,0,0,0,0,517
14,0,0,0,0,515
15,0,0,0,0,517
0,0,0,0,0,534
1,0,0,0,0,541
2,0,0,0,0,492
3,0,0,0,0,390
4,0,0,0,0,410
5,0,0,0,0,556
6,0,0,0,0,583
7,0,0,0,0,553
8,0,0,0,0,532
9,0,0,0,0,527
10,0,0,0,0,526
11,0,0,0,0,520
12,0,0,0,0,516
13,0,0,0,0,516
14,0,0,0,0,516
15,0,0,0,0,519
0,0,0,0,0,518
1,0,0,0,0,516
2,0,0,0,0,516
3,0,0,0,0,516
4,0,0,0,0,516
5,0,0,0,0,516
6,0,0,0,0,517
7,0,0,0,0,516
8,0,0,0,0,517
9,0,0,0,0,516
10,0,0,0,0,516
11,0,0,0,0,514
12,0,0,0,0,511
13,0,0,0,0,510
14,0,0,0,0,511
15,0,0,0,0,513
0,0,0,0,0,518
1,0,0,0,0,519
2,0,0,0,0,522
3,0,0,0,0,520
4,0,0,0,0,525
5,0,0,0,0,522
6,0,0,0,0,524
7,0,0,0,0,522
8,0,0,0,0,522
9,0,0,0,0,519
10,0,0,0,0,521
11,0,0,0,0,518
12,0,0,0,0,517
13,0,0,0,0,519
14,0,0,0,0,520
15,0,0,0,0,515
0,0,0,0,0,515
1,0,0,0,0,513
2,0,0,0,0,515
3,0,0,0,0,515
4,0,0,0,0,514
5,0,0,0,0,517
6,0,0,0,0,517
7,0,0,0,0,517
8,0,0,0,0,515
9,0,0,0,0,513
10,0,0,0,0,513
11,0,0,0,0,511
12,0,0,0,0,515
13,0,0,0,0,514
14,0,0,0,0,514
15,0,0,0,0,517
0,0,0,0,0,518
1,0,0,0,0,518
2,0,0,0,0,517
3,0,0,0,0,519
4,0,0,0,0,519
5,0,0,0,0,518
6,0,0,0,0,517
7,0,0,0,0,516
8,0,0,0,0,517
9,0,0,0,0,518
10,0,0,0,0,515
