nSeq,I1,I2,O1,O2,A3
13,0,0,0,0,380
14,0,0,0,0,380
15,0,0,0,0,380
0,0,0,0,0,380
1,0,0,0,0,380
2,0,0,0,0,380
3,0,0,0,0,380
4,0,0,0,0,380
5,0,0,0,0,380
6,0,0,0,0,380
7,0,0,0,0,380
8,0,0,0,0,380
9,0,0,0,0,380
10,0,0,0,0,380
11,0,0,0,0,380
12,0,0,0,0,380
13,0,0,0,0,380
14,0,0,0,0,380
15,0,0,0,0,380
0,0,0,0,0,380
1,0,0,0,0,380
2,0,0,0,0,380
3,0,0,0,0,380
4,0,0,0,0,380
5,0,0,0,0,380
6,0,0,0,0,380
7,0,0,0,0,380
8,0,0,0,0,380
9,0,0,0,0,380
10,0,0,0,0,380
11,0,0,0,0,380
12,0,0,0,0,380
13,0,0,0,0,380
14,0,0,0,0,380
15,0,0,0,0,380
0,0,0,0,0,380
1,0,0,0,0,380
2,0,0,0,0,380
3,0,0,0,0,380
4,0,0,0,0,380
5,0,0,0,0,380
6,0,0,0,0,380
7,0,0,0,0,380
8,0,0,0,0,380
9,0,0,0,0,381
10,0,0,0,0,381
11,0,0,0,0,381
12,0,0,0,0,381
13,0,0,0,0,381
14,0,0,0,0,381
15,0,0,0,0,381
0,0,0,0,0,381
1,0,0,0,0,381
2,0,0,0,0,381
3,0,0,0,0,381
4,0,0,0,0,381
5,0,0,0,0,382
6,0,0,0,0,382
7,0,0,0,0,382
8,0,0,0,0,382
9,0,0,0,0,382
10,0,0,0,0,382
11,0,0,0,0,382
12,0,0,0,0,382
13,0,0,0,0,382
14,0,0,0,0,382
15,0,0,0,0,382
0,0,0,0,0,382
1,0,0,0,0,382
2,0,0,0,0,383
3,0,0,0,0,383
4,0,0,0,0,383
5,0,0,0,0,383
6,0,0,0,0,383
7,0,0,0,0,383
8,0,0,0,0,383
9,0,0,0,0,383
10,0,0,0,0,383
11,0,0,0,0,383
12,0,0,0,0,383
13,0,0,0,0,383
14,0,0,0,0,384
15,0,0,0,0,384
0,0,0,0,0,384
1,0,0,0,0,384
2,0,0,0,0,384
3,0,0,0,0,384
4,0,0,0,0,384
5,0,0,0,0,384
6,0,0,0,0,384
7,0,0,0,0,384
8,0,0,0,0,384
9,0,0,0,0,384
10,0,0,0,0,384
11,0,0,0,0,384
12,0,0,0,0,384
13,0,0,0,0,385
14,0,0,0,0,385
15,0,0,0,0,385
0,0,0,0,0,385
1,0,0,0,0,385
2,0,0,0,0,385
3,0,0,0,0,385
4,0,0,0,0,385
5,0,0,0,0,385
6,0,0,0,0,385
7,0,0,0,0,385
8,0,0,0,0,385
