nSeq,I1,I2,O1,O2,A3
2,0,0,0,0,409
3,0,0,0,0,409
4,0,0,0,0,409
5,0,0,0,0,409
6,0,0,0,0,409
7,0,0,0,0,409
8,0,0,0,0,409
9,0,0,0,0,409
10,0,0,0,0,409
11,0,0,0,0,409
12,0,0,0,0,409
13,0,0,0,0,409
14,0,0,0,0,409
15,0,0,0,0,408
0,0,0,0,0,408
1,0,0,0,0,408
2,0,0,0,0,408
3,0,0,0,0,408
4,0,0,0,0,408
5,0,0,0,0,408
6,0,0,0,0,408
7,0,0,0,0,408
8,0,0,0,0,408
9,0,0,0,0,408
10,0,0,0,0,408
11,0,0,0,0,408
12,0,0,0,0,408
13,0,0,0,0,408
14,0,0,0,0,408
15,0,0,0,0,408
0,0,0,0,0,408
1,0,0,0,0,408
2,0,0,0,0,408
3,0,0,0,0,408
4,0,0,0,0,408
5,0,0,0,0,408
6,0,0,0,0,408
7,0,0,0,0,408
8,0,0,0,0,408
9,0,0,0,0,408
10,0,0,0,0,408
11,0,0,0,0,408
12,0,0,0,0,408
13,0,0,0,0,408
14,0,0,0,0,408
15,0,0,0,0,408
0,0,0,0,0,408
1,0,0,0,0,408
2,0,0,0,0,408
3,0,0,0,0,408
4,0,0,0,0,408
5,0,0,0,0,408
6,0,0,0,0,408
7,0,0,0,0,408
8,0,0,0,0,408
9,0,0,0,0,408
10,0,0,0,0,408
11,0,0,0,0,408
12,0,0,0,0,408
13,0,0,0,0,408
14,0,0,0,0,408
15,0,0,0,0,408
0,0,0,0,0,408
1,0,0,0,0,408
2,0,0,0,0,408
3,0,0,0,0,408
4,0,0,0,0,408
5,0,0,0,0,408
6,0,0,0,0,408
7,0,0,0,0,408
8,0,0,0,0,408
9,0,0,0,0,408
10,0,0,0,0,408
11,0,0,0,0,407
12,0,0,0,0,408
13,0,0,0,0,408
14,0,0,0,0,408
15,0,0,0,0,408
0,0,0,0,0,408
1,0,0,0,0,408
2,0,0,0,0,408
3,0,0,0,0,407
4,0,0,0,0,408
5,0,0,0,0,408
6,0,0,0,0,408
7,0,0,0,0,407
8,0,0,0,0,407
9,0,0,0,0,408
10,0,0,0,0,407
11,0,0,0,0,407
12,0,0,0,0,407
13,0,0,0,0,408
14,0,0,0,0,407
15,0,0,0,0,407
0,0,0,0,0,407
1,0,0,0,0,407
2,0,0,0,0,407
3,0,0,0,0,407
4,0,0,0,0,407
5,0,0,0,0,407
6,0,0,0,0,407
