nSeq,I1,I2,O1,O2,A3
15,0,0,0,0,527
0,0,0,0,0,527
1,0,0,0,0,527
2,0,0,0,0,527
3,0,0,0,0,527
4,0,0,0,0,527
5,0,0,0,0,527
6,0,0,0,0,527
7,0,0,0,0,527
8,0,0,0,0,527
9,0,0,0,0,527
10,0,0,0,0,527
11,0,0,0,0,527
12,0,0,0,0,527
13,0,0,0,0,527
14,0,0,0,0,527
15,0,0,0,0,526
0,0,0,0,0,526
1,0,0,0,0,526
2,0,0,0,0,526
3,0,0,0,0,526
4,0,0,0,0,526
5,0,0,0,0,526
6,0,0,0,0,526
7,0,0,0,0,526
8,0,0,0,0,526
9,0,0,0,0,526
10,0,0,0,0,526
11,0,0,0,0,526
12,0,0,0,0,526
13,0,0,0,0,526
14,0,0,0,0,526
15,0,0,0,0,526
0,0,0,0,0,526
1,0,0,0,0,525
2,0,0,0,0,526
3,0,0,0,0,526
4,0,0,0,0,525
5,0,0,0,0,525
6,0,0,0,0,525
7,0,0,0,0,525
8,0,0,0,0,525
9,0,0,0,0,525
10,0,0,0,0,525
11,0,0,0,0,525
12,0,0,0,0,525
13,0,0,0,0,525
14,0,0,0,0,525
15,0,0,0,0,525
0,0,0,0,0,525
1,0,0,0,0,525
2,0,0,0,0,525
3,0,0,0,0,525
4,0,0,0,0,525
5,0,0,0,0,524
6,0,0,0,0,525
7,0,0,0,0,524
8,0,0,0,0,524
9,0,0,0,0,524
10,0,0,0,0,524
11,0,0,0,0,524
12,0,0,0,0,524
13,0,0,0,0,524
14,0,0,0,0,524
15,0,0,0,0,524
0,0,0,0,0,524
1,0,0,0,0,524
2,0,0,0,0,524
3,0,0,0,0,524
4,0,0,0,0,524
5,0,0,0,0,524
6,0,0,0,0,524
7,0,0,0,0,524
8,0,0,0,0,524
9,0,0,0,0,524
10,0,0,0,0,524
11,0,0,0,0,524
12,0,0,0,0,524
13,0,0,0,0,524
14,0,0,0,0,524
15,0,0,0,0,524
0,0,0,0,0,524
1,0,0,0,0,524
2,0,0,0,0,524
3,0,0,0,0,524
4,0,0,0,0,524
5,0,0,0,0,523
6,0,0,0,0,524
7,0,0,0,0,523
8,0,0,0,0,523
9,0,0,0,0,523
10,0,0,0,0,523
11,0,0,0,0,523
12,0,0,0,0,523
13,0,0,0,0,523
14,0,0,0,0,523
15,0,0,0,0,523
0,0,0,0,0,523
1,0,0,0,0,523
2,0,0,0,0,523
3,0,0,0,0,523
4,0,0,0,0,523
5,0,0,0,0,522
6,0,0,0,0,523
7,0,0,0,0,523
8,0,0,0,0,522
9,0,0,0,0,522
10,0,0,0,0,522
11,0,0,0,0,522
12,0,0,0,0,522
13,0,0,0,0,522
14,0,0,0,0,522
15,0,0,0,0,522
0,0,0,0,0,522
1,0,0,0,0,522
2,0,0,0,0,522
3,0,0,0,0,522
4,0,0,0,0,522
5,0,0,0,0,522
6,0,0,0,0,522
7,0,0,0,0,522
8,0,0,0,0,522
9,0,0,0,0,522
10,0,0,0,0,522
11,0,0,0,0,522
12,0,0,0,0,521
13,0,0,0,0,521
14,0,0,0,0,521
15,0,0,0,0,521
0,0,0,0,0,521
1,0,0,0,0,521
2,0,0,0,0,521
3,0,0,0,0,521
4,0,0,0,0,521
5,0,0,0,0,521
6,0,0,0,0,521
7,0,0,0,0,521
8,0,0,0,0,521
9,0,0,0,0,521
10,0,0,0,0,521
11,0,0,0,0,521
12,0,0,0,0,521
13,0,0,0,0,521
14,0,0,0,0,521
15,0,0,0,0,521
0,0,0,0,0,521
1,0,0,0,0,521
2,0,0,0,0,521
3,0,0,0,0,521
4,0,0,0,0,521
5,0,0,0,0,521
6,0,0,0,0,521
7,0,0,0,0,521
8,0,0,0,0,521
9,0,0,0,0,521
10,0,0,0,0,521
11,0,0,0,0,521
12,0,0,0,0,521
13,0,0,0,0,521
14,0,0,0,0,521
15,0,0,0,0,521
0,0,0,0,0,521
1,0,0,0,0,521
2,0,0,0,0,521
3,0,0,0,0,521
4,0,0,0,0,521
5,0,0,0,0,521
6,0,0,0,0,521
7,0,0,0,0,521
8,0,0,0,0,521
9,0,0,0,0,521
10,0,0,0,0,521
11,0,0,0,0,521
12,0,0,0,0,521
13,0,0,0,0,521
14,0,0,0,0,521
15,0,0,0,0,521
0,0,0,0,0,520
1,0,0,0,0,520
2,0,0,0,0,520
3,0,0,0,0,520
4,0,0,0,0,520
5,0,0,0,0,520
6,0,0,0,0,520
7,0,0,0,0,520
8,0,0,0,0,520
9,0,0,0,0,520
10,0,0,0,0,520
11,0,0,0,0,520
12,0,0,0,0,520
13,0,0,0,0,520
14,0,0,0,0,520
15,0,0,0,0,520
0,0,0,0,0,519
1,0,0,0,0,519
2,0,0,0,0,519
3,0,0,0,0,519
4,0,0,0,0,519
5,0,0,0,0,519
6,0,0,0,0,519
7,0,0,0,0,519
8,0,0,0,0,519
9,0,0,0,0,519
10,0,0,0,0,519
11,0,0,0,0,519
12,0,0,0,0,519
13,0,0,0,0,519
14,0,0,0,0,519
15,0,0,0,0,519
0,0,0,0,0,519
1,0,0,0,0,519
2,0,0,0,0,519
3,0,0,0,0,519
4,0,0,0,0,519
5,0,0,0,0,519
6,0,0,0,0,519
7,0,0,0,0,519
8,0,0,0,0,519
9,0,0,0,0,519
10,0,0,0,0,519
11,0,0,0,0,519
12,0,0,0,0,519
13,0,0,0,0,519
14,0,0,0,0,519
15,0,0,0,0,519
0,0,0,0,0,519
1,0,0,0,0,519
2,0,0,0,0,519
3,0,0,0,0,519
4,0,0,0,0,519
5,0,0,0,0,518
6,0,0,0,0,518
7,0,0,0,0,518
8,0,0,0,0,519
9,0,0,0,0,518
10,0,0,0,0,518
11,0,0,0,0,518
12,0,0,0,0,518
13,0,0,0,0,518
14,0,0,0,0,518
15,0,0,0,0,518
0,0,0,0,0,518
1,0,0,0,0,518
2,0,0,0,0,518
3,0,0,0,0,518
4,0,0,0,0,518
5,0,0,0,0,517
6,0,0,0,0,517
7,0,0,0,0,517
8,0,0,0,0,517
9,0,0,0,0,517
10,0,0,0,0,517
11,0,0,0,0,517
12,0,0,0,0,517
13,0,0,0,0,517
14,0,0,0,0,517
15,0,0,0,0,517
0,0,0,0,0,517
1,0,0,0,0,517
2,0,0,0,0,517
3,0,0,0,0,517
4,0,0,0,0,517
5,0,0,0,0,517
6,0,0,0,0,517
7,0,0,0,0,517
8,0,0,0,0,517
9,0,0,0,0,517
10,0,0,0,0,517
11,0,0,0,0,517
12,0,0,0,0,516
13,0,0,0,0,516
14,0,0,0,0,516
15,0,0,0,0,516
0,0,0,0,0,516
1,0,0,0,0,516
2,0,0,0,0,516
3,0,0,0,0,516
4,0,0,0,0,516
5,0,0,0,0,516
6,0,0,0,0,516
7,0,0,0,0,516
8,0,0,0,0,516
9,0,0,0,0,516
10,0,0,0,0,516
11,0,0,0,0,516
12,0,0,0,0,516
13,0,0,0,0,516
14,0,0,0,0,516
15,0,0,0,0,516
0,0,0,0,0,516
1,0,0,0,0,516
2,0,0,0,0,516
3,0,0,0,0,516
4,0,0,0,0,516
5,0,0,0,0,516
6,0,0,0,0,516
7,0,0,0,0,516
8,0,0,0,0,516
9,0,0,0,0,516
10,0,0,0,0,516
11,0,0,0,0,516
12,0,0,0,0,516
13,0,0,0,0,516
14,0,0,0,0,516
15,0,0,0,0,516
0,0,0,0,0,516
1,0,0,0,0,516
2,0,0,0,0,516
3,0,0,0,0,516
4,0,0,0,0,516
5,0,0,0,0,515
6,0,0,0,0,516
7,0,0,0,0,516
8,0,0,0,0,516
9,0,0,0,0,516
10,0,0,0,0,516
11,0,0,0,0,516
12,0,0,0,0,516
13,0,0,0,0,515
14,0,0,0,0,516
15,0,0,0,0,516
0,0,0,0,0,515
1,0,0,0,0,515
2,0,0,0,0,516
3,0,0,0,0,515
4,0,0,0,0,515
5,0,0,0,0,515
6,0,0,0,0,515
7,0,0,0,0,515
8,0,0,0,0,515
9,0,0,0,0,515
10,0,0,0,0,515
11,0,0,0,0,515
12,0,0,0,0,515
13,0,0,0,0,515
14,0,0,0,0,515
15,0,0,0,0,515
0,0,0,0,0,515
1,0,0,0,0,515
2,0,0,0,0,515
3,0,0,0,0,515
4,0,0,0,0,515
5,0,0,0,0,515
6,0,0,0,0,515
7,0,0,0,0,515
8,0,0,0,0,515
9,0,0,0,0,515
10,0,0,0,0,515
11,0,0,0,0,515
12,0,0,0,0,515
13,0,0,0,0,515
14,0,0,0,0,515
15,0,0,0,0,515
0,0,0,0,0,515
1,0,0,0,0,515
2,0,0,0,0,515
3,0,0,0,0,515
4,0,0,0,0,515
5,0,0,0,0,515
6,0,0,0,0,515
7,0,0,0,0,514
8,0,0,0,0,515
9,0,0,0,0,514
10,0,0,0,0,515
11,0,0,0,0,515
12,0,0,0,0,515
13,0,0,0,0,515
14,0,0,0,0,515
15,0,0,0,0,515
0,0,0,0,0,515
1,0,0,0,0,515
2,0,0,0,0,515
3,0,0,0,0,515
4,0,0,0,0,515
5,0,0,0,0,515
6,0,0,0,0,515
7,0,0,0,0,515
8,0,0,0,0,514
9,0,0,0,0,514
10,0,0,0,0,514
11,0,0,0,0,514
12,0,0,0,0,514
13,0,0,0,0,514
14,0,0,0,0,514
15,0,0,0,0,514
0,0,0,0,0,514
1,0,0,0,0,514
2,0,0,0,0,514
3,0,0,0,0,514
4,0,0,0,0,513
5,0,0,0,0,513
6,0,0,0,0,513
7,0,0,0,0,513
8,0,0,0,0,513
9,0,0,0,0,513
10,0,0,0,0,513
11,0,0,0,0,513
12,0,0,0,0,513
13,0,0,0,0,513
14,0,0,0,0,513
15,0,0,0,0,513
0,0,0,0,0,513
1,0,0,0,0,513
2,0,0,0,0,513
3,0,0,0,0,513
4,0,0,0,0,513
5,0,0,0,0,513
6,0,0,0,0,513
7,0,0,0,0,513
8,0,0,0,0,513
9,0,0,0,0,513
10,0,0,0,0,513
11,0,0,0,0,513
12,0,0,0,0,513
13,0,0,0,0,513
14,0,0,0,0,513
15,0,0,0,0,513
0,0,0,0,0,513
1,0,0,0,0,513
2,0,0,0,0,513
3,0,0,0,0,513
4,0,0,0,0,513
5,0,0,0,0,513
6,0,0,0,0,513
7,0,0,0,0,513
8,0,0,0,0,513
9,0,0,0,0,513
10,0,0,0,0,513
11,0,0,0,0,513
12,0,0,0,0,513
13,0,0,0,0,513
14,0,0,0,0,513
15,0,0,0,0,513
0,0,0,0,0,513
1,0,0,0,0,513
2,0,0,0,0,513
3,0,0,0,0,513
4,0,0,0,0,513
5,0,0,0,0,513
6,0,0,0,0,513
7,0,0,0,0,513
8,0,0,0,0,513
9,0,0,0,0,513
10,0,0,0,0,513
11,0,0,0,0,513
12,0,0,0,0,513
13,0,0,0,0,513
14,0,0,0,0,513
15,0,0,0,0,513
0,0,0,0,0,513
1,0,0,0,0,513
2,0,0,0,0,513
3,0,0,0,0,513
4,0,0,0,0,512
5,0,0,0,0,512
6,0,0,0,0,512
7,0,0,0,0,512
8,0,0,0,0,513
9,0,0,0,0,512
10,0,0,0,0,512
11,0,0,0,0,512
12,0,0,0,0,512
13,0,0,0,0,512
14,0,0,0,0,512
15,0,0,0,0,512
0,0,0,0,0,512
1,0,0,0,0,512
2,0,0,0,0,512
3,0,0,0,0,512
4,0,0,0,0,511
5,0,0,0,0,511
6,0,0,0,0,512
7,0,0,0,0,512
8,0,0,0,0,512
9,0,0,0,0,511
10,0,0,0,0,512
11,0,0,0,0,512
12,0,0,0,0,511
13,0,0,0,0,511
14,0,0,0,0,511
15,0,0,0,0,512
0,0,0,0,0,512
1,0,0,0,0,511
2,0,0,0,0,512
3,0,0,0,0,512
4,0,0,0,0,512
5,0,0,0,0,511
6,0,0,0,0,511
7,0,0,0,0,511
8,0,0,0,0,512
9,0,0,0,0,512
10,0,0,0,0,512
11,0,0,0,0,512
12,0,0,0,0,512
13,0,0,0,0,512
14,0,0,0,0,512
15,0,0,0,0,512
0,0,0,0,0,512
1,0,0,0,0,512
2,0,0,0,0,512
3,0,0,0,0,512
4,0,0,0,0,512
5,0,0,0,0,512
6,0,0,0,0,512
7,0,0,0,0,512
8,0,0,0,0,512
9,0,0,0,0,512
10,0,0,0,0,512
11,0,0,0,0,512
12,0,0,0,0,511
13,0,0,0,0,511
14,0,0,0,0,511
15,0,0,0,0,511
0,0,0,0,0,511
1,0,0,0,0,511
2,0,0,0,0,511
3,0,0,0,0,511
4,0,0,0,0,511
5,0,0,0,0,511
6,0,0,0,0,511
7,0,0,0,0,511
8,0,0,0,0,511
9,0,0,0,0,510
10,0,0,0,0,511
11,0,0,0,0,510
12,0,0,0,0,511
13,0,0,0,0,510
14,0,0,0,0,511
15,0,0,0,0,511
0,0,0,0,0,510
1,0,0,0,0,510
2,0,0,0,0,510
3,0,0,0,0,510
4,0,0,0,0,510
5,0,0,0,0,510
6,0,0,0,0,510
7,0,0,0,0,510
8,0,0,0,0,510
9,0,0,0,0,510
10,0,0,0,0,510
11,0,0,0,0,510
12,0,0,0,0,510
13,0,0,0,0,510
14,0,0,0,0,510
15,0,0,0,0,510
0,0,0,0,0,510
1,0,0,0,0,510
2,0,0,0,0,510
3,0,0,0,0,510
4,0,0,0,0,510
5,0,0,0,0,510
6,0,0,0,0,510
7,0,0,0,0,510
8,0,0,0,0,510
9,0,0,0,0,510
10,0,0,0,0,510
11,0,0,0,0,510
12,0,0,0,0,510
13,0,0,0,0,510
14,0,0,0,0,510
15,0,0,0,0,510
0,0,0,0,0,510
1,0,0,0,0,510
2,0,0,0,0,510
3,0,0,0,0,510
4,0,0,0,0,510
5,0,0,0,0,509
6,0,0,0,0,510
7,0,0,0,0,510
8,0,0,0,0,510
9,0,0,0,0,510
10,0,0,0,0,510
11,0,0,0,0,510
12,0,0,0,0,509
13,0,0,0,0,509
14,0,0,0,0,509
15,0,0,0,0,509
0,0,0,0,0,509
1,0,0,0,0,509
2,0,0,0,0,509
3,0,0,0,0,509
4,0,0,0,0,509
5,0,0,0,0,509
6,0,0,0,0,509
7,0,0,0,0,509
8,0,0,0,0,509
9,0,0,0,0,509
10,0,0,0,0,509
11,0,0,0,0,509
12,0,0,0,0,509
13,0,0,0,0,509
14,0,0,0,0,509
15,0,0,0,0,509
0,0,0,0,0,509
1,0,0,0,0,508
2,0,0,0,0,508
3,0,0,0,0,509
4,0,0,0,0,508
5,0,0,0,0,508
6,0,0,0,0,508
7,0,0,0,0,508
8,0,0,0,0,508
9,0,0,0,0,508
10,0,0,0,0,508
11,0,0,0,0,508
12,0,0,0,0,508
13,0,0,0,0,508
14,0,0,0,0,508
15,0,0,0,0,508
0,0,0,0,0,508
1,0,0,0,0,508
2,0,0,0,0,508
3,0,0,0,0,508
4,0,0,0,0,508
5,0,0,0,0,508
6,0,0,0,0,508
7,0,0,0,0,508
8,0,0,0,0,508
9,0,0,0,0,508
10,0,0,0,0,508
11,0,0,0,0,508
12,0,0,0,0,508
13,0,0,0,0,508
14,0,0,0,0,508
15,0,0,0,0,508
0,0,0,0,0,508
1,0,0,0,0,508
2,0,0,0,0,508
3,0,0,0,0,508
4,0,0,0,0,508
5,0,0,0,0,508
6,0,0,0,0,508
